,Area_sq.ft,Price,Price_per_sq.ft,Locality,Booking_start,Agent_Name,Direction,parking,Type_BHK,Type_Of_House
11862,1690,102.0,6050,Jaibery Colony        ,13,Aniket,north east,Yes,3BHK,Apartment
11863,1580,78.21,4950,Satyam Enclave        ,13,Samir,east,Yes,2BHK,Apartment
11864,1388,68.7,4950,Dundigal        ,13,Ankit,north east,No,2BHK,Apartment
11865,2071,102.0,4950,Kompally        ,13,Ajish,east,Yes,3BHK,Apartment
11866,1388,68.7,4950,Hill County        ,13,Lal,east,Yes,2BHK,Apartment
11867,1174,83.94,7150,Sivalaya Nagar Colony        ,13,Binu,east,No,2BHK,Apartment
11868,916,68.4,7467,Gandi Maisamma X Road        ,13,Nadiya,east,Yes,2BHK,Apartment
11869,1165,69.2,5940,Raghavendra Colony-Ramachandrapuram        ,13,Narendran,east,Yes,2BHK,Apartment
11870,1180,58.41,4950,Sri Balaji Layout        ,13,Sushil,east,No,2BHK,Apartment
11871,1580,95.59,6050,Brundavan Colony        ,13,Keshavadas,north east,Yes,2BHK,Apartment
11872,1690,102.0,6050,Dandamudi Enclave        ,13,Babita Patel,north,Yes,3BHK,Apartment
11873,1070,70.62,6600,Subashnagar        ,13,Kabir Mehta,north east,No,3BHK,Apartment
11874,1070,70.62,6600,Panchsheel Enclave-Jeedimetla        ,13,Devanshi Thakur,south,No,3BHK,Apartment
11875,1350,48.6,3600,Athvelly        ,13,Madhuri,east,Yes,2BHK,Apartment
11876,4171,367.0,8800,Satyam Enclave        ,13,Pitamber,east,Yes,4BHK,Apartment
11877,4171,367.0,8800,Sri Ganesh Nagar        ,13,Nagaraj,east,No,4BHK,Apartment
11878,4171,300.0,7200,Satyam Enclave        ,13,Radha Krishna,north east,No,4BHK,Apartment
11879,1160,83.6,7207,Renuka Yellamma Colony        ,13,Akhil,south,Yes,2BHK,Apartment
11880,1112,105.0,9442,Tellapur        ,8,SR Reddy,east,Yes,2BHK,Apartment
11881,1533,88.2,5753,Saidabad        ,24,Srikanth,east,Yes,3BHK,Apartment
11882,3932,600.0,15259,Kokapet        ,11,Sairaman,east,Yes,4BHK,Apartment
11883,1656,96.8,5845,ECIL X Road        ,24,Venala,east,Yes,3BHK,Apartment
11884,1483,24.45,1649,Nizampet        ,25,Ashish Sharma,east,Yes,3BHK,Apartment
11885,1388,68.7,4950,Hill County        ,13,Lal,north,Yes,2BHK,Apartment
11886,1165,69.2,5940,Raghavendra Colony-Ramachandrapuram        ,13,Narendran,north east,Yes,2BHK,Apartment
11887,2071,102.0,4950,Kompally        ,13,Ajish,east,Yes,3BHK,Apartment
11888,1388,68.7,4950,Dundigal        ,13,Ankit,east,Yes,2BHK,Apartment
11889,1174,83.94,7150,Sivalaya Nagar Colony        ,13,Binu,north,No,2BHK,Apartment
11890,1148,105.0,9159,Miyapur        ,27,Dhruv Pillai,north east,No,3BHK,Apartment
11891,1364,78.0,5718,Bowrampet        ,11,Tamilarasan,east,Yes,3BHK,Apartment
11892,3106,360.0,11590,Kondapur        ,26,svenkatreddy,east,No,4BHK,Apartment
11893,1341,111.0,8322,Rama Rao Nagar        ,11,Theivakkumar,north,No,3BHK,Apartment
11894,1241,84.6,6817,Beeramguda        ,30,Mallikarjuna Rao,east,Yes,3BHK,Apartment
11895,1057,78.06,7386,Neknampur        ,30,Maya,east,Yes,2BHK,Apartment
11896,3322,339.0,10227,Kokapet        ,30,Himashree,east,No,4BHK,Apartment
11897,972,51.05,5252,Medchal        ,30,Ajinkya,east,No,2BHK,Apartment
11898,1143,93.0,8136,Nallagandla        ,30,Harmanpreet,north east,No,2BHK,Apartment
11899,3534,250.0,7074,Yapral        ,12,Ravikumar,east,Yes,4BHK,Apartment
11900,1466,102.0,6983,Panchavati Colony        ,12,Uma,east,Yes,3BHK,Apartment
11901,1591,93.0,5845,Alkapoor        ,12,Vinith,east,No,3BHK,Apartment
11902,1871,148.0,7937,Panchavati Colony        ,12,Gurdeep,east,Yes,3BHK,Apartment
11903,1980,50.59,2555,Keesara        ,24,yadaiah,east,UnKnown,Plot,Plot
11904,2241,196.0,8748,Ghatkesar        ,14,Krishna Rao,north east,No,4BHK,Villa
11905,2473,216.0,8748,Ghatkesar        ,14,Rishi Mehta,east,Yes,4BHK,Villa
11906,1379,68.0,4931,Saroor Nagar        ,11,Sunay,east,Yes,4BHK,Villa
11907,3791,292.0,7716,Velimela        ,12,Prasanna,north east,No,2BHK,Villa
11908,1206,126.0,10448,Gulshan Nagar        ,17,Akash Rao,east,Yes,3BHK,Apartment
11909,2772,161.0,5844,Malkajgiri        ,31,Anand Kumar,north,Yes,4BHK,Apartment
11910,1112,105.0,9442,Tellapur        ,8,SR Reddy,east,No,2BHK,Apartment
11911,1080,5.99,555,Yadagirigutta        ,12,Mira,east,UnKnown,Plot,Plot
11912,2575,261.0,10172,Deluxe Colony        ,10,Anirudh,east,Yes,3BHK,Apartment
11913,1754,173.0,9919,Madinaguda        ,21,Spectrumwg,east,No,3BHK,Apartment
11914,1142,42.09,3686,Miyapur        ,23,Laiba Jain,east,Yes,3BHK,Apartment
11915,1056,68.0,6439,Dilsukhnagar        ,31,Anuradha,east,Yes,2BHK,Apartment
11916,920,47.02,5111,Patancheru        ,31,Pranay,east,Yes,2BHK,Apartment
11917,979,80.13,8185,Miyapur        ,31,Arjun Rao,east,Yes,2BHK,Apartment
11918,2772,161.0,5844,Malkajgiri        ,31,Anand Kumar,east,No,4BHK,Apartment
11919,972,41.76,4297,Medchal        ,31,Sneha Joshi,east,Yes,2BHK,Apartment
11920,1800,20.0,1111,Sadashivpet        ,12,Yogita Kumar,east,UnKnown,Plot,Plot
11921,1620,21.6,1333,Nizampet        ,12,Navin,east,UnKnown,Plot,Plot
11922,1200,15.0,1250,Sangareddy        ,12,Avneet,east,UnKnown,Plot,Plot
11923,2700,81.0,3000,Yapral        ,12,Dhuvaraki,east,UnKnown,Plot,Plot
11924,900,5.0,556,Sadashivpet        ,12,Sivatharisan,north east,UnKnown,Plot,Plot
11925,1503,15.03,1000,Bandlaguda        ,12,Govinth,east,UnKnown,Plot,Plot
11926,3600,25.2,700,Bachupally        ,12,Andila,north east,UnKnown,Plot,Plot
11927,1800,26.0,1444,Beeramguda        ,12,Pulimagal,north east,UnKnown,Plot,Plot
11928,2160,40.8,1889,Patighanpur        ,12,Dakshana,north,UnKnown,Plot,Plot
11929,2700,21.6,800,Bhuvanagiri        ,12,Grish,east,UnKnown,Plot,Plot
11930,2475,29.7,1200,Dammaiguda        ,12,Ariram,west,UnKnown,Plot,Plot
11931,2680,225.0,8396,Gachibowli        ,12,Nimisha Rao,east,UnKnown,Plot,Plot
11932,1800,16.2,900,Warangal highway        ,12,Santosh Sharma,east,UnKnown,Plot,Plot
11933,600,20.5,3417,Kukatpally        ,12,Yuvraj Mehta,east,UnKnown,Plot,Plot
11934,2100,17.0,810,Kothur        ,12,Kiresh,north,UnKnown,Plot,Plot
11935,1800,32.0,1778,Shankarpalli        ,12,Vidya,east,UnKnown,Plot,Plot
11936,1350,13.5,1000,Shamshabad        ,12,Ranjnika,east,UnKnown,Plot,Plot
11937,1800,44.0,2444,Upparpalli        ,12,Manmada,east,UnKnown,Plot,Plot
11938,2700,35.99,1333,Bibinagar        ,12,Gnanamani,north east,UnKnown,Plot,Plot
11939,2700,34.5,1278,Adibatla        ,12,Nitayasri,east,UnKnown,Plot,Plot
11940,1884,177.0,9395,Tellapur        ,8,SR Reddy,east,No,3BHK,Apartment
11941,1533,88.2,5753,Madannapet Colony        ,24,Sanjeetpgdm,east,Yes,3BHK,Apartment
11942,1353,142.0,10495,Rajendra Nagar        ,2,Propmart Technologies Ltd,east,Yes,3BHK,Apartment
11943,2800,221.0,7920,Sachivalaya Nagar        ,2,leo das,east,Yes,3BHK,Apartment
11944,1768,157.0,8935,Jamuna Tirth        ,11,Karan Singh,east,Yes,4BHK,Apartment
11945,2680,225.0,8396,Gachibowli        ,12,Nimisha Rao,east,UnKnown,Plot,Plot
11946,1800,32.0,1778,Shankarpalli        ,12,Vidya,east,UnKnown,Plot,Plot
11947,1800,20.0,1111,Sadashivpet        ,12,Yogita Kumar,east,UnKnown,Plot,Plot
11948,1200,15.0,1250,Sangareddy        ,12,Avneet,north east,UnKnown,Plot,Plot
11949,1620,21.6,1333,Nizampet        ,12,Navin,east,UnKnown,Plot,Plot
11950,2475,29.7,1200,Dammaiguda        ,12,Ariram,east,UnKnown,Plot,Plot
11951,3600,25.2,700,Bachupally        ,12,Andila,north east,UnKnown,Plot,Plot
11952,2700,21.6,800,Bhuvanagiri        ,12,Grish,south,UnKnown,Plot,Plot
11953,1800,26.0,1444,Beeramguda        ,12,Pulimagal,east,UnKnown,Plot,Plot
11954,1503,15.03,1000,Bandlaguda        ,12,Govinth,east,UnKnown,Plot,Plot
11955,2160,40.8,1889,Patighanpur        ,12,Dakshana,west,UnKnown,Plot,Plot
11956,2700,81.0,3000,Yapral        ,12,Dhuvaraki,east,UnKnown,Plot,Plot
11957,900,5.0,556,Sadashivpet        ,12,Sivatharisan,east,UnKnown,Plot,Plot
11958,1485,16.5,1111,Sadashivpet        ,12,Omhari Patel,east,UnKnown,Plot,Plot
11959,1650,30.0,1818,Shankarpalli        ,12,Heera,north,UnKnown,Plot,Plot
11960,1485,19.8,1333,Nizampet        ,12,Arti,north east,UnKnown,Plot,Plot
11961,1800,59.99,3333,Kondapur        ,12,Shahadevan,east,UnKnown,Plot,Plot
11962,1485,15.59,1050,Nandigama        ,12,Rohitha,west,UnKnown,Plot,Plot
11963,2700,27.0,1000,Shadnagar        ,12,Yubhashana,east,UnKnown,Plot,Plot
11964,1647,30.19,1833,Gandi Maisamma        ,12,Visisht,north east,UnKnown,Plot,Plot
11965,2970,30.0,1010,Shamshabad        ,12,Ruksarah,west,UnKnown,Plot,Plot
11966,1197,7.78,650,Yadagirigutta        ,12,Rathooshna,east,UnKnown,Plot,Plot
11967,1550,46.5,3000,Miyapur        ,12,Uma Mehta,west,UnKnown,Plot,Plot
11968,1467,40.75,2778,Shadnagar        ,16,daya,north east,UnKnown,Plot,Plot
11969,1800,42.0,2333,Bandaraviral        ,16,Sudhakar,north,UnKnown,Plot,Plot
11970,1585,140.0,8833,Bachupally        ,3,Asha,east,Yes,3BHK,Apartment
11971,2210,216.0,9817,Film Nagar        ,19,Dhanya Kumar,north east,Yes,3BHK,Apartment
11972,625,23.03,3686,Nagarjuna Enclave        ,18,Ranjan Iyer,east,Yes,1BHK,Apartment
11973,1768,193.0,10921,Swathi Avenue        ,11,Devanthy,east,Yes,4BHK,Apartment
11974,1115,75.27,6751,Ramkrishna Raju Residency        ,17,Lata Singh,east,No,3BHK,Apartment
11975,1125,47.58,4230,Rodamestri Nagar        ,13,Amita Kapoor,east,No,2BHK,Apartment
11976,1725,85.38,4950,Rajiv Gandhi Nagar-Suraram        ,13,Parul,north,Yes,3BHK,Apartment
11977,1270,69.85,5500,Sreeram Nagar Colony        ,13,Ashwin,east,Yes,2BHK,Apartment
11978,1145,51.52,4500,Ganesh Nagar-Miyapur        ,13,Radha,north,Yes,2BHK,Apartment
11979,1180,47.79,4050,Medak Road        ,13,Parag,east,Yes,2BHK,Apartment
11980,1174,68.67,5850,Mahadevpur Colony        ,13,Devendra,east,No,2BHK,Apartment
11981,1150,59.45,5170,Rajiv Gruhakalpa        ,13,Pramod,north east,Yes,2BHK,Apartment
11982,1185,74.29,6270,PNR Colony        ,13,Gokul,north east,Yes,2BHK,Apartment
11983,2223,90.03,4050,Hill County        ,13,Ashish,north,Yes,3BHK,Apartment
11984,1152,57.02,4950,Church Colony        ,13,Mandeep,east,Yes,2BHK,Apartment
11985,3100,223.0,7200,Devender Colony        ,13,Satish,east,Yes,3BHK,Apartment
11986,1725,85.38,4950,Suraram        ,13,Abhinav,east,Yes,3BHK,Apartment
11987,4224,371.0,8800,Jaibery Colony        ,13,Amrik,south,Yes,4BHK,Apartment
11988,1174,68.67,5850,Suraram        ,13,Vivek,east,Yes,2BHK,Apartment
11989,1170,42.12,3600,Njr Klr Nagar        ,13,Mallika,east,Yes,2BHK,Apartment
11990,1174,83.94,7150,Gajularamaram        ,13,Disha Singh,east,Yes,2BHK,Apartment
11991,1125,58.16,5170,Mettakanigudem        ,13,Nilesh,east,Yes,2BHK,Apartment
11992,1270,69.85,5500,Krishna Reddy Pet        ,13,Mukesh,east,Yes,2BHK,Apartment
11993,1174,68.67,5850,Medak Road        ,13,Rahul,east,Yes,2BHK,Apartment
11994,1885,91.8,4870,Gundlapochampalli        ,13,Simran,south,No,3BHK,Apartment
11995,1380,68.31,4950,Medak Road        ,13,Rajendra,east,Yes,2BHK,Apartment
11996,2085,103.0,4950,Medak Road        ,13,Arjun Rao,east,Yes,3BHK,Apartment
11997,1350,48.6,3600,Medchal        ,13,Manoram,north,No,2BHK,Apartment
11998,3100,223.0,7200,Kompally        ,13,Aditya,east,Yes,3BHK,Apartment
11999,3100,272.0,8800,Devender Colony        ,13,Sarita,north east,Yes,3BHK,Apartment
12000,1800,50.0,2778,Kandi        ,3,venkat,east,UnKnown,Plot,Plot
12001,1125,47.58,4230,ALEAP Industrial Area        ,13,Ramprasad,east,Yes,2BHK,Apartment
12002,1400,90.72,6480,Sri Srinivasapuram Colony        ,2,Narenrdra,east,Yes,2BHK,Apartment
12003,1350,19.5,1444,Bhongir        ,25,Damini Mehta,east,UnKnown,Plot,Plot
12004,1948,219.0,11249,Manikonda        ,17,Bhavesh Kumar,north east,Yes,3BHK,Apartment
12005,1174,68.67,5850,Suraram        ,13,Vivek,north east,Yes,2BHK,Apartment
12006,1070,57.78,5400,IDA Jeedimetla        ,13,Bibek,east,Yes,3BHK,Apartment
12007,3100,272.0,8800,Kompally        ,13,Adesh,east,Yes,3BHK,Apartment
12008,3100,272.0,8800,Devender Colony        ,13,Sarita,north,Yes,3BHK,Apartment
12009,1174,68.67,5850,Medak Road        ,13,Rahul,east,Yes,2BHK,Apartment
12010,1885,91.8,4870,Gundlapochampalli        ,13,Simran,east,Yes,3BHK,Apartment
12011,1388,56.21,4050,Mallampet        ,13,Vijay Kumar,east,Yes,2BHK,Apartment
12012,1350,48.6,3600,Medchal        ,13,Manoram,north,No,2BHK,Apartment
12013,1380,68.31,4950,Medak Road        ,13,Rajendra,east,Yes,2BHK,Apartment
12014,2085,103.0,4950,Medak Road        ,13,Arjun Rao,east,Yes,3BHK,Apartment
12015,1334,79.26,5942,Gundlapochampalli        ,13,Suhani,east,Yes,2BHK,Apartment
12016,1160,83.6,7207,Dundigal        ,13,Arhaan,north east,Yes,2BHK,Apartment
12017,1174,68.67,5850,Saibaba Nagar-Suraram        ,13,Ormila,north east,Yes,2BHK,Apartment
12018,3100,223.0,7200,Kompally        ,13,Aditya,east,No,3BHK,Apartment
12019,4224,304.0,7200,Jaibery Colony        ,13,Ajay,east,No,4BHK,Apartment
12020,1434,85.82,5985,BHEL Employees Co-operative Housing Society        ,13,Swati Rao,east,Yes,2BHK,Apartment
12021,1145,51.52,4500,Janachaitanya        ,13,Arvind,east,Yes,2BHK,Apartment
12022,2085,103.0,4950,Suraram Village        ,13,Babul,east,Yes,3BHK,Apartment
12023,1125,58.16,5170,Mettakanigudem        ,13,Nilesh,north,No,2BHK,Apartment
12024,1270,69.85,5500,Krishna Reddy Pet        ,13,Mukesh,north east,No,2BHK,Apartment
12025,1174,83.94,7150,Gajularamaram        ,13,Disha Singh,east,Yes,2BHK,Apartment
12026,1388,68.7,4950,Mallampet        ,13,Arun Rao,west,Yes,2BHK,Apartment
12027,1170,51.48,4400,MRR Colony        ,13,Maneet,east,Yes,2BHK,Apartment
12028,1170,42.12,3600,Njr Klr Nagar        ,13,Mallika,east,Yes,2BHK,Apartment
12029,1145,51.52,4500,Renuka Yellamma Colony        ,13,Ajesh,east,Yes,2BHK,Apartment
12030,1647,29.28,1778,Sultanpur        ,3,Mazhar Ullah,east,UnKnown,Plot,Plot
12031,1800,42.0,2333,Bandaraviral        ,9,Hritika Desai,east,UnKnown,Plot,Plot
12032,1323,36.75,2778,Vangapalli        ,23,Rajni Mehta,east,UnKnown,Plot,Plot
12033,926,56.02,6050,Aditya Nagar-Kapra        ,20,Chekuru Vani Soujanya,east,Yes,2BHK,Apartment
12034,1066,95.0,8912,Saroor Nagar        ,30,Sunil Sharma,north east,Yes,2BHK,Apartment
12035,1165,64.07,5500,Thumkunta        ,13,Adiram,east,Yes,2BHK,Apartment
12036,1265,78.61,6215,Mallampet        ,13,Krishnamoorthy,north east,Yes,2BHK,Apartment
12037,1070,70.62,6600,BHEL Employees Co-operative Housing Society        ,13,Dhruv Pillai,east,Yes,3BHK,Apartment
12038,1145,51.52,4500,Kolan Narayana Reddy Colony        ,13,Kunal Sharma,east,Yes,2BHK,Apartment
12039,1150,48.64,4230,Kaiser Nagar        ,13,Kripesh,east,Yes,2BHK,Apartment
12040,1125,58.16,5170,Kakatiya Hills        ,13,Manasvi,north east,Yes,2BHK,Apartment
12041,2071,102.0,4950,Sri Ganesh Nagar        ,13,Nitin,east,No,3BHK,Apartment
12042,1388,56.21,4050,Dundigal        ,13,Anup,north east,Yes,2BHK,Apartment
12043,1150,59.45,5170,Kaiser Nagar        ,13,Mansukh,east,Yes,2BHK,Apartment
12044,2071,102.0,4950,Srinivas Nagar-Kompally        ,13,Roa,west,Yes,3BHK,Apartment
12045,1165,56.61,4860,HMT Swarnapuri Colony        ,13,Manju Singh,east,Yes,2BHK,Apartment
12046,1174,68.67,5850,Rodamestri Nagar        ,13,Bina Dubey,north east,Yes,2BHK,Apartment
12047,1145,62.97,5500,Venkatraya Nagar        ,13,Nishant Nair,north,No,2BHK,Apartment
12048,780,37.92,4862,Gundlapochampalli        ,13,Maya,east,Yes,1BHK,Apartment
12049,2071,102.0,4950,Devender Colony        ,13,Satyadev,east,No,3BHK,Apartment
12050,1070,57.78,5400,Dandamudi Enclave        ,13,Reena Singh,east,No,3BHK,Apartment
12051,1133,53.59,4730,Rizala Bazar        ,13,Shailendra,east,No,2BHK,Apartment
12052,1814,124.0,6836,Miyapur        ,27,Karthika,east,No,3BHK,Apartment
12053,884,69.37,7848,Chanda Nagar        ,27,Sivaprasad,east,Yes,2BHK,Apartment
12054,1639,139.0,8527,Miyapur        ,27,Namita Jain,east,Yes,3BHK,Apartment
12055,1245,98.0,7871,Moti Nagar        ,11,Gagandip,north east,No,2BHK,Apartment
12056,1546,86.97,5626,Beeramguda        ,30,Nishant Nair,east,Yes,3BHK,Apartment
12057,1676,154.0,9206,Puppalaguda        ,30,Divya Singh,east,Yes,3BHK,Apartment
12058,1925,132.0,6873,Nacharam        ,30,Aditya,east,Yes,3BHK,Apartment
12059,1099,73.69,6705,Gopanpally        ,30,Rajendra,east,Yes,2BHK,Apartment
12060,2160,202.0,9375,Tellapur        ,8,SR Reddy,east,Yes,4BHK,Apartment
12061,1498,165.0,11015,Timber Lake Colony        ,11,Ghisaram,west,Yes,3BHK,Apartment
12062,2000,144.0,7200,Abhilekhagaram        ,2,Vinayak,south,Yes,3BHK,Apartment
12063,1984,202.0,10229,Narsingi        ,4,Bindu Thakur,east,Yes,3BHK,Apartment
12064,1720,77.4,4500,Bowrampet        ,23,Shreyas Singh,north east,Yes,3BHK,Villa
12065,1945,153.0,7866,Kukatpally        ,30,Arvind Agarwal,east,No,3BHK,Apartment
12066,1079,78.97,7320,Peerzadiguda        ,30,Latha,east,Yes,2BHK,Apartment
12067,1676,154.0,9206,Puppalaguda        ,30,Divya Singh,east,Yes,3BHK,Apartment
12068,1546,86.97,5626,Beeramguda        ,30,Nishant Nair,east,Yes,3BHK,Apartment
12069,1099,73.69,6705,Gopanpally        ,30,Rajendra,east,Yes,2BHK,Apartment
12070,1925,132.0,6873,Nacharam        ,30,Aditya,north east,No,3BHK,Apartment
12071,1390,92.11,6627,Velimela        ,30,Shailendra,north,Yes,3BHK,Apartment
12072,1641,131.0,8000,Tellapur        ,30,Arveen,west,No,3BHK,Apartment
12073,2112,232.0,11022,Kokapet        ,30,Pradeep,east,Yes,4BHK,Apartment
12074,4846,600.0,12381,Rai Durg        ,12,Sanah,east,Yes,4BHK,Apartment
12075,918,100.0,10893,Hafeezpet        ,12,Chiranjeevi,east,Yes,2BHK,Apartment
12076,7648,939.0,12278,Rai Durg        ,12,Sanjana,north,Yes,4BHK,Apartment
12077,3989,899.0,22537,Jubilee Hills        ,11,Tejas Mehta,east,Yes,4BHK,Villa
12078,1221,90.0,7371,Rajendra Nagar        ,60,Marketing Team,east,Yes,3BHK,Apartment
12079,2792,296.0,10625,Nanakramguda        ,17,Nikhil Rao,south,Yes,3BHK,Apartment
12080,1154,82.48,7148,Bank Colony-New Malakpet        ,17,Uma Patel,north east,No,2BHK,Apartment
12081,1440,116.0,8113,APHB Colony-Moula Ali        ,17,Bala Patel,east,Yes,3BHK,Apartment
12082,1206,154.0,12769,Srinivasa Nagar-Padmarao Nagar        ,17,Jyoti Agarwal,north,Yes,3BHK,Apartment
12083,1200,67.5,5625,Golf Enclave        ,17,Kiran Menon,east,No,3BHK,Apartment
12084,2000,357.0,17875,Devera Konda Basti        ,17,Veena Tripathi,east,Yes,4BHK,Apartment
12085,1253,111.0,8907,Moosapet        ,17,Garima Deshmukh,east,No,3BHK,Apartment
12086,863,51.04,5914,Shamirpet Road        ,17,Madhu Deshmukh,east,No,2BHK,Apartment
12087,960,75.24,7838,MIG Phase 2 Colony        ,17,Anand Desai,east,Yes,2BHK,Apartment
12088,1122,80.32,7159,Bachupally        ,31,Ranjani,north,Yes,2BHK,Apartment
12089,1263,71.82,5687,Ameenpur        ,31,Samir,south,Yes,2BHK,Apartment
12090,1585,140.0,8833,Bachupally        ,3,Asha,west,Yes,3BHK,Apartment
12091,1200,84.24,7020,Vinayak Nagar Colony-Shaikpet        ,2,Shibay,east,Yes,2BHK,Apartment
12092,1344,62.89,4680,Bara Galli Colony        ,20,Karra.Jagadish,north,No,3BHK,Apartment
12093,1412,100.0,7150,Uppari Basthi        ,24,Vishal Shukla,east,Yes,3BHK,Apartment
12094,1624,44.62,2748,Suchitra        ,17,Karujan,north east,No,3BHK,Apartment
12095,1056,63.8,6042,Gandi Maisamma        ,31,Shahnaz,east,Yes,2BHK,Apartment
12096,1115,61.57,5523,Pragathi Nagar-Kukatpally        ,31,Ahalya,east,Yes,2BHK,Apartment
12097,1390,82.47,5934,Alwal        ,31,Aryan Desai,north east,Yes,3BHK,Apartment
12098,729,37.92,5202,Narapally        ,31,Jatin,south,Yes,2BHK,Apartment
12099,1324,72.94,5509,Ameenpur        ,31,Parag,east,Yes,3BHK,Apartment
12100,1175,67.55,5749,Bachupally        ,31,Akhil,east,Yes,3BHK,Apartment
12101,920,51.72,5623,Patancheru        ,31,Adesh,east,No,2BHK,Apartment
12102,1690,99.26,5874,Kompally        ,31,Binu,east,No,3BHK,Apartment
12103,1162,67.71,5828,Bachupally        ,31,Damini Singh,east,No,2BHK,Apartment
12104,1324,65.64,4958,Ameenpur        ,31,Bina Roy,east,Yes,3BHK,Apartment
12105,1056,61.2,5795,Dilsukhnagar        ,31,Dhruv Pillai,north,Yes,2BHK,Apartment
12106,2464,201.0,8182,Ramachandrapuram        ,31,Mira,east,Yes,3BHK,Apartment
12107,1263,71.82,5687,Ameenpur        ,31,Samir,east,Yes,2BHK,Apartment
12108,1122,80.32,7159,Bachupally        ,31,Ranjani,east,Yes,2BHK,Apartment
12109,1945,170.0,8740,Kukatpally        ,31,Rahul,east,No,3BHK,Apartment
12110,1672,144.0,8625,Moti Nagar        ,31,Arvind,east,Yes,3BHK,Apartment
12111,1122,72.29,6443,Bachupally        ,31,Bina Dubey,east,Yes,2BHK,Apartment
12112,1426,72.9,5112,Bandlaguda        ,31,Puja Chauhan,east,Yes,3BHK,Apartment
12113,3516,305.0,8675,Tellapur        ,31,Nadiya,east,Yes,4BHK,Apartment
12114,1690,90.24,5340,Kompally        ,31,Nandita,north east,Yes,3BHK,Apartment
12115,2772,179.0,6493,Malkajgiri        ,31,Varghese,north east,Yes,4BHK,Apartment
12116,1056,52.2,4943,Gandi Maisamma        ,31,Harish Dubey,east,Yes,2BHK,Apartment
12117,1628,79.92,4909,Kompally        ,31,Disha Mehta,north,Yes,3BHK,Apartment
12118,1326,73.08,5512,Bolaram Nagar        ,31,Prabhakar,west,Yes,3BHK,Apartment
12119,995,73.51,7388,Kokapet        ,31,Hina,east,Yes,2BHK,Apartment
12120,1800,50.0,2778,Kandi        ,3,venkat,north east,UnKnown,Plot,Plot
12121,1350,29.16,2160,Sadashivpet        ,19,Sjagan,north east,UnKnown,Plot,Plot
12122,2700,168.0,6250,Tukkuguda        ,21,Gvvaidya,east,Yes,4BHK,Apartment
12123,1228,93.94,7650,APSEB Colony        ,27,Pankaj Shah,north east,Yes,3BHK,Apartment
12124,1811,246.0,13637,Abids        Amolak Amare,27,Chakravarthi,east,No,3BHK,Apartment
12125,1162,67.71,5828,Bachupally        ,31,Damini Singh,east,Yes,2BHK,Apartment
12126,1390,82.47,5934,Alwal        ,31,Aryan Desai,south,No,3BHK,Apartment
12127,1186,62.3,5254,Machabollaram        ,13,Bijoy Sinha,west,No,2BHK,Apartment
12128,1125,47.58,4230,Gajularamaram        ,13,Ambika,north,Yes,2BHK,Apartment
12129,1999,138.0,6930,Suvarna Valley        ,13,Pragya Patel,east,Yes,3BHK,Apartment
12130,1150,59.45,5170,HAL Colony        ,13,Bhupinder,east,Yes,2BHK,Apartment
12131,1434,104.0,7315,Petbasheerabad        ,13,Jaya Gupta,east,Yes,2BHK,Apartment
12132,1175,51.7,4400,Prashanthi Hills        ,13,Chakrapani,east,No,2BHK,Apartment
12133,1380,55.89,4050,Sivalaya Nagar Colony        ,13,Bhushan,east,Yes,2BHK,Apartment
12134,1175,42.3,3600,Devender Nagar        ,13,Surya,west,Yes,2BHK,Apartment
12135,1217,59.16,4862,Gowdavalli        ,13,Praveen,east,Yes,2BHK,Apartment
12136,1175,51.7,4400,Sri Balaji Layout        ,13,Vishnu,east,No,2BHK,Apartment
12137,4171,300.0,7200,Srinivas Nagar-Kompally        ,13,Giridhar,east,Yes,4BHK,Apartment
12138,1185,68.43,5775,Devender Colony        ,13,Shankarrao,north,No,2BHK,Apartment
12139,1356,97.9,7220,Bachupally        ,13,Poonam,north,No,2BHK,Apartment
12140,1850,101.0,5500,Patelguda        ,13,Adarsh,east,No,3BHK,Apartment
12141,1180,47.79,4050,ALEAP Industrial Area        ,13,Pranav,east,Yes,2BHK,Apartment
12142,1580,78.21,4950,Dandamudi Enclave        ,13,Abhinav Mehta,east,Yes,2BHK,Apartment
12143,1377,95.42,6930,HMT Swarnapuri Colony        ,13,Pradeep Rao,north east,Yes,2BHK,Apartment
12144,1150,59.45,5170,Mahadevpur Colony Phase 2        ,13,Arvind Verma,east,Yes,2BHK,Apartment
12145,1200,66.0,5500,Golf Enclave        ,13,Venkat,east,Yes,2BHK,Apartment
12146,1133,53.59,4730,M.G.Nagar Colony        ,13,Ashish Menon,east,Yes,2BHK,Apartment
12147,1133,53.59,4730,Baban Guda        ,13,Akshat,east,Yes,2BHK,Apartment
12148,1380,68.31,4950,ALEAP Industrial Area        ,13,Sumit,east,No,2BHK,Apartment
12149,1145,62.97,5500,Renuka Yellamma Colony        ,13,Arveen,north,No,2BHK,Apartment
12150,1476,139.0,9417,Tellapur        ,8,SR Reddy,east,Yes,3BHK,Apartment
12151,901,26.73,2967,Bachupally        ,25,Urvashi Patel,east,No,2BHK,Apartment
12152,2184,100.0,4579,Hafeezpet        ,27,Kanchana,north,Yes,3BHK,Apartment
12153,3400,220.00000000000003,6480,Ragala Enclave        ,10,Vivek,north,Yes,4BHK,Apartment
